Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Little Bighorn Battlefield NM,"2,03,795","20,33,208","15,67,871","43,18,501","47,67,889","48,27,270","48,67,399","49,64,318","73,00,123","53,62,893","51,74,682","33,47,163","32,00,377","32,37,516","31,68,317","31,38,276","30,54,818","31,28,028","31,55,195","29,97,127","30,67,187","15,14,636","13,43,286","11,10,998","11,22,524","13,07,391","16,61,196","16,12,246","14,67,779","12,70,538","12,33,105","13,04,667","13,52,123","14,83,928","15,83,209","16,93,005","18,32,660","18,87,580","20,16,702","11,16,891","13,68,376","10,61,64,793",2589385.195
Longfellow House Washington's HQ NHS,"17,739","12,22,874","10,23,436","10,66,573","15,10,630","15,60,428","18,00,326","16,76,583","15,76,238","18,85,376","17,91,902","19,19,901","20,58,801","19,73,098","17,63,094","16,99,958","16,96,488","15,26,166","14,83,782","21,08,789","17,48,047","1,92,815","1,83,640","1,91,812","1,83,364","1,82,545","1,52,214","1,34,980","1,18,298","1,42,656","1,62,886","1,42,512","1,34,249","1,28,812","1,28,919","1,39,086","1,27,154","1,52,382","1,44,619","1,38,087","1,25,688","3,61,16,947",880901.1463
Lowell NHP,"92,839","14,977","14,558","13,238","12,928","11,814","16,775","26,122","31,760","26,593","27,133","23,495","22,004","22,728","21,983","24,843","23,470","23,445","21,381","23,932","23,493","1,30,368","1,27,624","1,25,949","1,05,026","1,03,671","1,08,611","1,17,166","1,14,195","1,24,073","1,23,033","1,40,251","1,25,488","1,35,746","1,47,218","1,79,340","1,80,405","1,93,272","1,85,743","1,54,000","1,47,109","32,87,799",80190.21951
Lyndon B. Johnson NHP,"2,95,303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,074","25,892","24,059","43,892","52,077","52,330","49,779","48,776","54,284","53,667","70,216","71,314","71,301","74,314","69,845","1,03,708","67,396","69,156","78,739","87,755","1,23,400","68,091","61,636","17,21,004",41975.70732
Mammoth Cave National Park,"13,84,910","2,71,217","3,75,883","3,77,209","5,35,196","8,49,004","7,13,850","8,38,881","10,17,670","10,23,819","10,25,164","9,48,471","8,75,411","9,13,478","9,57,336","9,03,955","9,43,504","8,49,136","8,52,674","8,35,521","8,74,754","28,617","26,761","28,672","46,607","35,740","30,156","30,336","30,321","28,130","34,179","33,918","33,834","39,462","32,206","36,432","43,587","58,058","62,413","57,335","60,338","1,81,44,145",442540.122
Manassas NBP,"7,78,444","90,198","1,05,448","87,417","89,412","1,01,578","1,28,650","1,34,767","1,41,749","1,26,635","1,30,950","1,37,316","1,52,329","1,54,782","1,32,277","1,48,372","1,54,688","1,44,634","1,33,115","1,31,058","1,34,834","69,152","64,898","60,733","53,694","50,246","49,980","49,239","56,013","49,328","53,186","55,750","44,873","52,870","46,138","48,105","51,252","54,167","49,306","46,407","49,861","43,93,851",107167.0976
Mesa Verde National Park,"4,73,715",0,0,0,0,0,0,0,0,"22,857","34,520","34,822","34,279","35,132","28,737","28,405","32,261","39,766","44,548","49,629","49,097","1,25,372","1,08,190","1,04,033","85,311","87,956","58,564","70,067","73,669","50,719","72,232","67,776","65,892","58,668","55,965","64,359","89,282","83,370","74,255","48,491","45,372","23,97,311",58471
Minute Man NHP,"9,56,954","13,03,756","15,15,176","14,95,262","11,05,434","10,51,297","10,82,832","10,89,092","12,26,519","7,96,468","11,53,981","14,46,439","15,76,818","15,83,542","13,07,531","14,75,625","15,18,395","14,71,029","14,02,258","13,95,091","13,80,833","13,38,156","12,96,786","14,40,227","15,61,311","14,18,735","13,40,160","12,73,456","13,00,152","12,38,147","12,84,707","13,11,807","13,96,354","13,02,505","13,25,719","14,24,484","14,18,162","15,44,300","15,61,616","15,06,887","14,67,153","5,50,85,156",1343540.39
Montezuma Castle NM,"3,82,085","1,01,167","1,11,410","1,06,123","1,09,694","1,01,783","1,01,566","1,03,328","1,17,346","1,26,928","1,34,710","98,435","1,03,941","1,11,643","1,31,850","1,14,927","1,28,032","1,20,556","1,13,057","99,983","99,274","43,300","37,396","30,918","29,737","26,854","26,662","26,348","26,263","25,411","27,855","27,386","25,858","26,710","24,959","26,808","35,117","42,862","39,970","40,574","35,399","32,44,225",79127.43902
Moores Creek NB,"44,272","17,299","17,757","16,829","18,269","18,907","17,438","18,632","15,951","15,496","14,640","16,391","13,542","11,345","12,998","11,814","9,250","15,717","13,508","10,924","23,047","2,16,407","2,34,631","1,96,874","1,63,883","1,30,411","95,676","72,516","69,211","61,955","99,267","80,578","88,231","75,061","75,678","81,475","66,324","67,276","45,800","39,361","50,285","23,64,926",57681.12195
Morristown NHP,"5,54,064","27,449","27,070","33,015","28,118","32,207","33,954","38,051","33,712","35,923","33,358","26,234","22,680","21,473","29,376","31,044","27,936","28,045","31,534","30,051","30,992","31,79,157","28,13,047","29,72,104","27,12,277","40,87,918","39,51,073","35,32,245","37,05,538","40,76,638","39,67,694","37,51,007","35,72,770","35,94,549","35,53,070","36,48,050","43,11,582","50,67,510","47,90,758","45,76,456","45,32,459","7,75,52,188",1891516.78
Mount Rainier National Park,"15,16,703","33,164","36,124","44,183","38,064","56,560","50,796","51,996","69,414","1,23,253","3,33,283","1,56,534","1,54,553","1,36,511","1,33,427","1,26,239","1,33,440","1,41,116","1,31,225","1,36,582","1,20,901","18,20,228","17,35,404","19,89,941","19,53,449","18,10,330","21,27,336","19,38,132","19,72,344","18,33,596","19,44,568","21,50,345","18,40,513","18,89,381","16,81,695","15,53,372","16,40,195","16,98,223","21,58,471","17,56,079","21,34,285","4,13,51,955",1008584.268
Mount Rushmore NMEM,"12,45,425","5,45,357","6,12,966","6,73,201","6,71,426","6,63,798","6,41,172","7,83,224","8,30,085","9,55,246","9,90,214","10,22,396","11,45,458","12,20,539","12,52,401","11,84,871","12,35,702","10,95,046","12,26,273","14,10,312","13,16,340","21,096","19,431","19,463","17,800","17,276","17,398","17,070","15,973","14,038","14,653","15,793","15,892","16,663","16,274","14,560","18,684","24,966","28,196","25,798","26,410","2,10,98,886",514606.9756
Muir Woods NM,"12,27,241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62,314","75,962","83,468","57,905","23,629","21,115","16,959","17,984","13,973","15,334","19,916","19,196","27,289","17,100","24,853","31,499","36,375","21,027","17,956","24,506","45,437","53,536","40,835","41,305","20,36,714",49675.95122
Natchez Trace PKWY,"94,75,305",0,0,0,0,0,0,0,0,"12,462","17,354","23,580","46,780","42,591","44,481","46,370","49,634","48,836","44,258","56,584","47,328","8,78,759","9,23,604","6,99,680","6,31,942","5,95,128","4,29,267","2,64,680","3,03,373","3,39,821","3,35,075","3,91,019","4,20,366","4,19,694","4,00,128","4,45,524","4,05,618","4,38,420","4,56,666","5,29,878","5,90,329","1,98,54,534",484256.9268
Natural Bridges NM,"78,564","11,824","13,115","14,377","11,182","20,074","25,142","41,663","38,212","45,710","40,247","40,778","41,417","46,196","53,421","55,728",0,0,"18,802","45,470","51,399","1,28,960","1,25,330","1,31,215","1,26,363","1,08,948","1,02,318","97,395","1,05,321","1,00,481","1,29,595","1,03,462","77,146","1,09,300","98,259","1,04,348","1,16,444","1,37,275","1,44,537","1,42,356","1,23,489","30,05,863",73313.73171
Navajo NM,"41,341",0,0,"16,118","24,048","30,703","35,758","54,296","60,428","59,017","75,557","66,115","1,07,041","1,08,130","1,89,712","2,09,516","2,30,657","2,74,034","3,06,164","2,63,948","2,90,673","52,103","59,716","52,706","62,784","71,294","94,945","86,016","84,501","82,417","69,972","64,849","66,157","69,940","67,455","62,057","67,797","66,441","60,735","51,680","50,789","37,87,610",92380.73171
Nez Perce NHP,"1,62,688","9,34,778","10,09,433","9,63,835","9,46,672","9,13,604","7,76,340","6,65,582","7,49,043","6,93,389","7,62,422","7,84,310","7,87,400","9,26,748","9,29,767","9,65,883","11,47,958","11,72,130","9,59,260","10,52,281","12,36,585","12,10,790","11,80,278","11,44,220","11,35,664","10,70,301","10,77,646","10,34,954","11,72,125","10,99,060","11,39,923","12,22,931","11,47,986","11,97,750","12,28,502","12,64,842","14,30,337","14,11,819","14,33,292","15,04,561","14,26,666","4,30,73,755",1050579.39
North Cascades National Park,"7,42,997","8,19,065","7,76,850","8,31,044","7,65,755","9,37,262","8,74,456","10,28,785","10,81,172","10,07,695","10,37,349","10,62,867","10,71,022","6,37,446","6,36,515","7,25,930","8,32,794","5,02,749","4,84,718","5,40,212","5,59,534","1,00,522","98,489","1,14,392","1,08,181","1,17,613","1,24,937","1,19,656","1,24,704","1,12,578","1,30,925","1,35,151","1,48,002","1,48,152","1,56,285","1,83,420","1,96,277","2,10,110","2,14,557","2,04,621","1,97,091","1,99,01,880",485411.7073
Ocmulgee Mounds NHP,"81,572","2,14,931","2,23,851","2,13,630","2,24,512","2,32,275","2,12,605","2,21,157","2,18,080","2,40,349","2,28,591","2,17,011","2,33,941","2,30,285","2,32,688","2,28,759","2,29,746","2,27,709","2,37,579","2,53,283","2,54,158","12,262","12,244","9,417","9,330","11,073","7,616","6,490","8,896","10,090","16,333","17,466","18,466","22,642","17,273","26,273","18,485","25,467","30,399","24,077","24,838","49,85,849",121606.0732
Olympic National Park,"20,78,843",0,0,"49,688","52,155","61,752","81,954","1,00,649","1,02,155","1,05,590","87,736","1,03,404","1,10,597","1,48,019","4,03,250","4,01,034","4,29,570","4,80,817","6,55,858","6,79,980","6,93,883","32,538","25,257","27,942","26,578","27,873","28,166","29,499","30,875","28,770","34,516","34,904","31,236","37,403","37,777","41,535","42,615","49,376","46,876","46,957","40,725","75,28,352",183618.3415
Oregon Caves NM & PRES,"1,30,733","48,442","56,182","53,084","52,551","62,830","59,847","55,561","49,617","64,657","67,182","89,867","1,08,160","1,12,136","1,04,950","1,03,048","1,21,752","1,11,642","1,16,918","1,08,093","1,16,012","1,22,323","1,19,462","1,36,135","1,05,361","1,15,020","1,11,987","1,12,239","1,26,066","1,35,308","1,14,350","1,00,799","1,05,906","1,23,081","1,21,923","1,41,354","1,63,431","1,54,931","1,71,376","1,46,269","1,83,143","44,03,728",107408
Organ Pipe Cactus NM,"1,31,634",0,"4,616","4,858","8,373","7,895","12,391","11,757","16,265","16,912","18,824","12,534","13,845","18,849","17,472","16,929","17,116","15,987","25,206","23,523","32,455","12,33,935","12,80,917","11,78,376","12,83,346","12,43,659","13,75,111","12,56,421","12,98,979","13,92,446","13,04,471","14,34,976","13,96,237","13,96,117","13,83,340","15,89,904","20,25,756","25,05,286","28,53,619","29,42,382","29,88,547","3,37,91,266",824177.2195
Ozark NSR,"14,53,034",0,0,"3,775","2,365","1,075","1,305","1,085",230,"2,275","1,970","2,586","2,795","2,829","2,816","2,781","2,781","2,781","2,781","5,550","6,309","86,989","63,006","60,825","57,972","61,797","48,772","46,839","60,992","60,934","30,654","27,919","57,841","58,875","1,01,112","67,210","67,891","71,527","76,512","72,146","69,401","27,50,337",67081.39024
Padre Island NS,"7,74,862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,63,639","12,85,566","33,36,548","32,49,688","44,150","54,000","70,101","77,632","91,462","85,891","1,12,344","1,19,237","1,04,835","1,66,380","1,32,731","1,62,906","1,53,584","1,58,124","1,54,206","1,70,683","1,85,041","1,96,857","2,18,015","2,32,921","1,22,01,403",297595.1951
Pea Ridge NMP,"94,197",0,0,0,0,0,0,0,0,0,0,0,"58,076","44,446","47,171","38,543","45,049","36,891","34,300","45,779","50,087","71,389","67,038","59,025","51,589","56,787","54,274","68,630","82,634","7,970","43,035","55,172","48,939","39,818","28,966","30,896","37,818","37,818","37,818","37,818","84,167","14,96,140",36491.21951
Pecos NHP,"51,476",0,0,"10,440","12,332","12,505","12,701","13,611","16,418","18,863","14,879","10,196","4,133","9,233","12,153","12,143","12,698","12,727","9,173","11,335","6,190","2,54,790","2,62,353","2,51,799","2,43,719","2,44,232","2,58,297","2,51,630","2,84,604","2,72,190","2,18,358","2,97,596","3,46,852","2,81,279","2,83,502","2,70,666","2,96,697","3,46,534","3,03,598","3,21,596","3,56,601","59,10,099",144148.7561
Perry's Victory & Intl. Peace MEM,"1,29,831","49,65,601","52,19,266","53,90,496","59,13,768","62,76,562","69,52,147","77,53,333","80,98,685","83,27,850","84,95,295","85,82,223","84,45,016","90,16,525","89,41,225","95,66,725","98,38,702","93,50,847","85,28,420","87,88,055","90,23,943","13,41,712","13,29,271","13,59,114","14,22,380","12,21,752","10,05,510","13,16,129","13,29,441","14,15,917","13,72,228","15,12,191","17,48,436","19,35,909","19,24,076","21,19,013","21,74,870","23,60,256","25,93,725","25,49,164","26,21,050","19,22,56,659",4689186.805
Petersburg NB,"5,77,283","15,70,790","15,59,283","19,09,655","18,44,870","19,44,648","15,97,719","14,06,693","12,80,496","13,21,739","12,74,916","13,58,778","12,80,021","12,96,962","14,80,987","15,35,448","14,70,137","16,76,466","16,83,646","16,36,419","17,79,138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,612","16,479","20,416","20,535","3,15,58,136",769710.6341
Petrified Forest National Park,"6,71,583","8,33,400","8,73,754","8,19,328","6,66,341","6,22,908","5,17,471","7,90,311","10,67,001","13,66,305","10,97,136","15,42,515","17,71,420","11,21,973","11,98,605","15,15,674","13,41,016","10,45,455","14,31,960","15,45,150","14,03,793","5,28,987","5,41,787","5,45,420","5,55,987","5,25,035","5,94,893","5,52,766","5,80,129","5,74,870","6,09,296","5,98,205","5,66,810","5,91,033","5,67,544","5,02,268","4,68,106","6,07,479","6,92,932","6,99,023","6,32,110","3,47,77,779",848238.5122
Pictured Rocks NL,"2,70,376","3,94,425","4,15,045","4,14,859","4,29,867","4,63,275","4,51,497","4,39,723","4,72,431","4,95,628","4,66,115","4,60,917","4,63,179","4,68,011","4,34,264","3,85,489","3,51,001","3,51,632","3,91,816","3,18,049","3,53,756","2,57,499","2,67,402","2,65,077","2,72,106","2,68,504","2,68,394","2,59,287","2,62,283","2,54,997","2,77,576","2,75,555","2,72,325","2,65,713","2,47,632","2,51,093","2,57,077","2,63,357","2,91,841","2,87,635","2,62,031","1,40,18,739",341920.4634
Pinnacles National Park,"1,53,717","87,993","87,038","77,705","68,737","65,611","68,254","77,061","75,048","77,555","76,871","72,570","76,150","1,64,132","1,78,863","1,12,349","1,21,507","1,08,298","1,11,733","1,15,727","1,35,180","6,97,051","7,13,436","7,54,436","8,44,576","8,43,623","8,88,255","9,03,079","9,75,043","9,35,940","8,80,512","7,97,716","7,95,150","8,54,250","9,28,150","10,85,202","9,19,661","9,12,351","9,06,485","10,17,298","11,16,161","1,98,80,474",484889.6098
Pipe Spring NM,"24,946",0,0,0,0,"10,81,095","11,22,489","11,76,096","12,11,526","12,29,295","4,54,519","6,15,002","6,60,651","6,76,657","6,25,607","6,17,094","6,25,271","4,89,122","5,87,734","5,67,737","5,37,685","1,24,680","76,030","66,182","64,097","66,786","70,783","53,107","54,971","58,389","54,219","65,870","64,898","60,198","61,942","62,022","60,372","69,435","84,759","82,646","1,09,799","1,37,13,711",334480.7561
Pipestone NM,"1,43,995","1,01,060","1,30,765","1,49,368","1,47,208","1,45,975","1,59,861","1,73,778","1,74,798","2,03,151","2,06,821","2,62,728","2,79,799","2,57,179","2,10,176","1,93,558","1,94,410","1,79,573","1,99,822","2,34,227","2,11,494","33,048","36,280","31,662","36,605","40,166","31,079","24,235","22,558","24,798","29,390","21,721","16,025","16,010","14,476","10,750","11,377","13,328","11,644","11,682","10,354","44,06,934",107486.1951
Piscataway Park,"1,37,971","2,18,811","2,25,590","2,07,898","2,16,252","2,17,844","2,19,215","2,12,002","2,19,075","1,98,685","2,11,587","2,10,377","2,09,197","2,12,037","1,76,591","1,92,460","1,35,400","1,30,805","1,58,806","1,49,323","1,46,914","2,646","4,217","4,046","4,006","4,744","5,037","3,005",847,"1,565","1,879","3,164","11,485","29,550","16,875",0,0,"15,500","15,500","14,937","15,766","41,61,609",101502.6585
Point Reyes NS,"14,89,135","4,08,434","4,02,686","4,32,695","4,48,078","4,31,196","4,31,347","4,40,775","4,18,356","6,06,918","5,82,589","4,52,894","5,09,507","5,20,940","4,51,674","4,61,966","4,28,202","4,12,524","4,42,514","4,08,051","3,85,683","29,23,716","29,61,477","26,75,205","25,35,768","36,10,796","32,14,467","32,48,757","34,33,663","36,54,976","31,17,046","30,72,716","30,73,430","32,67,124","32,09,279","37,67,287","40,77,835","40,84,298","41,55,947","41,07,520","38,41,633","7,85,99,104",1917051.317
Prince William Forest Park,"4,99,209","33,07,585","29,89,487","31,31,753","33,52,825","39,63,471","38,10,581","39,72,460","43,08,292","27,87,270","14,62,609","12,65,085","11,41,278","12,37,659","12,58,534","12,00,094","12,91,628","11,90,961","15,57,964","43,68,912","40,99,480","51,825","42,548","40,590","35,549","42,529","29,783","35,151","34,665","25,139","34,554","39,249","43,827","40,830","37,315","35,360","32,186","45,514","38,464","38,839","38,785","5,29,59,839",1291703.39
Pu'uhonua o Honaunau NHP,"4,09,436","1,83,311","2,52,992","2,05,585","2,21,398","2,47,695","2,61,686","2,75,450","2,65,046","2,26,507","2,25,247","2,30,891","2,92,302","3,28,093","3,35,330","3,99,643","4,09,520","3,63,841","3,58,212","3,66,739","3,94,098","6,493","4,397","4,325","4,505","4,906","5,408","5,320","5,549","6,802","9,711","9,931","5,158","11,639","13,000","16,100","17,818","21,102","22,755","14,479","17,157","64,59,577",157550.6585
Pu'ukohola Heiau NHS,"21,737","18,819","19,541","17,665","18,566","15,926","19,186","17,746","12,681","12,899","12,836","15,042","15,263","15,949","15,379","12,411","16,241","13,131","17,927","19,542",0,"87,55,005","84,65,547","75,50,284","79,15,581","78,19,984","76,92,438","77,77,753","76,22,139","76,01,863","76,68,689","70,80,758","63,96,682","62,85,439","63,44,714","69,42,873","72,98,465","71,75,891","78,82,339","75,78,958","74,99,049","14,96,82,938",3650803.366
Rainbow Bridge NM,"97,066","2,74,149","3,21,762","4,01,022","4,37,999","5,96,304","7,06,921","8,02,479","7,40,875","7,03,408","7,35,209","7,28,112","7,11,748","7,33,330","6,02,173","4,42,814","4,95,773","5,41,515","5,10,922","5,54,612","5,51,208","16,15,751","12,48,278","9,36,234","9,72,722","7,68,715","11,13,192","10,37,610","9,84,108","8,75,280","10,80,644","8,83,586","7,34,030","5,02,457","5,54,272","6,92,195","8,31,374","10,25,613","13,29,076","11,06,233","13,28,340","3,13,09,111",763636.8537
Redwood National Park,"4,13,917","3,17,982","3,00,685","2,90,524","2,99,460","2,76,414","2,87,622","3,08,124","3,30,848","3,03,214","2,86,686","1,93,066","1,94,220","1,90,414","1,84,841","1,81,555","1,59,430","1,36,892","1,29,667","1,24,212","1,22,116","14,15,627","12,52,160","14,44,751","13,56,331","12,79,051","12,72,119","12,81,586","14,50,438","13,37,024","13,82,663","13,24,074","15,23,474","17,81,972","12,54,409","11,80,898","11,70,843","12,53,571","13,04,403","12,76,722","13,58,818","3,19,32,823",778849.3415
Richmond NBP,"2,65,793",0,0,0,0,0,"1,428","3,107","4,432","5,419","5,625","5,938","5,241","6,396","9,251","10,269","9,433","8,536","8,411","9,405","9,645","3,74,911","3,76,695","3,88,149","4,04,384","3,79,667","3,65,535","3,88,741","3,95,057","3,77,361","3,65,639","3,84,570","3,51,269","4,07,653","4,27,409","4,32,977","4,68,092","5,36,068","5,07,256","4,99,435","5,17,039","87,16,236",212591.122
Rock Creek Park,"11,56,593","14,95,787","14,04,317","15,26,676","14,98,503","15,01,450","15,07,939","16,46,673","16,36,340","17,35,610","16,72,840","19,24,538","21,58,195","23,92,858","23,96,234","20,09,935","19,35,709","18,96,829","19,97,658","21,13,992","17,10,983","1,14,337","1,13,882","1,16,445","1,19,515","1,06,940","1,07,475","1,04,490","1,02,629","1,20,076","1,29,639","1,30,765","1,24,113","1,81,429","1,05,395","1,38,499","1,08,687","1,27,699","1,35,286","1,27,771","1,09,630","3,97,44,361",969374.6585
Rocky Mountain National Park,"25,68,530","7,97,913","7,92,371","6,68,601","7,20,745","7,03,100","7,23,998","7,93,274","6,67,014","7,78,861","7,67,138","7,99,972","9,05,485","8,67,606","6,14,897","9,17,534","6,76,087","7,25,086","10,25,826","9,72,709","8,15,338","4,88,094","5,29,503","4,20,089","4,74,238","4,82,250","4,54,716","4,70,683","4,53,297","4,11,164","3,33,368","2,30,694","2,39,058","3,71,063","2,94,979","2,54,167","2,32,882","2,60,234","2,77,403","2,61,225","2,44,246","2,54,85,438",621596.0488
Roger Williams NMEM,"27,788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,652","44,964","2,14,759","2,26,137","2,31,907","2,55,853","2,19,192","2,45,266","2,18,816","2,34,380","2,30,057","2,25,846","2,18,553","1,91,867","2,01,704","2,17,022","2,44,921","2,70,410","2,81,576","2,93,356","2,86,349","2,70,993","48,74,368",118887.0244
Russell Cave NM,"18,526",0,0,0,"1,74,841","3,22,723","3,77,069","5,82,582","7,27,919","8,17,120","10,12,217","13,48,652","28,70,609","32,52,140","7,65,838","6,48,982","4,24,674","7,74,917","4,94,002","3,87,594","4,99,844","1,54,031","1,46,037","1,27,225","1,26,924","1,29,392","1,47,443","1,23,781","1,28,596","1,47,123","1,82,172","1,26,228","1,08,420","1,33,550","1,25,069","99,795","1,11,711","1,25,562","1,43,651","1,33,850","1,38,714","1,81,59,523",442915.1951
Sagamore Hill NHS,"1,67,509",0,0,"10,538","6,888","5,370","5,335","4,943","11,124","12,499","12,087","11,569","15,370","14,482","13,816","13,875","19,402","17,807","23,008","20,087","20,325","3,67,968","3,92,214","3,90,076","3,83,025","3,61,349","4,19,552","3,88,887","3,58,809","3,35,473","4,64,074","3,54,125","2,96,214","2,95,464","2,09,405","2,18,132","2,33,299","2,39,719","2,32,265","1,97,717","1,97,816","67,41,617",164429.6829
Saguaro National Park,"5,66,486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,213","7,747","6,577","40,09,145","39,68,357","35,51,973","32,72,596","39,88,650","36,38,806","38,10,347","42,14,167","46,78,861","52,55,570","60,42,315","59,71,220","61,91,361","65,46,518","71,39,072","79,41,771","79,15,934","79,56,117","78,04,683","78,08,182","11,22,94,668",2738894.341
Saint Croix NSR,"3,91,683","5,39,257","5,88,608","6,02,968","6,04,115","5,16,865","6,56,271","6,58,888","7,28,566","7,72,183","6,00,045","6,11,375","6,78,075","7,42,080","6,66,054","6,85,031","6,63,794","6,17,360","6,27,720","6,04,556","6,35,736","3,30,329","3,34,567","4,25,995","4,22,566","3,47,056","3,28,668","2,98,518","2,90,744","2,82,233","3,02,811","3,20,959","3,12,168","3,46,327","2,77,883","2,81,436","3,17,782","3,32,328","2,96,128","2,72,591","2,41,304","1,95,53,623",476917.6341
Saint-Gaudens NHP,"31,800","10,05,047","10,47,239","10,37,897","10,15,027","9,60,840","8,95,775","12,08,554","9,45,530","10,01,990","9,16,595","8,57,156","7,69,746","10,91,964","9,53,630","10,62,161","10,78,632","9,55,938","8,28,902","9,65,253","8,69,884",0,0,0,"1,83,896","1,74,439","2,01,442","2,11,047","2,64,189","1,97,693","1,89,251","1,92,576","2,25,549","2,01,109","1,85,477","2,24,931","2,48,135","4,62,700","3,67,058","4,41,177","6,49,986","2,41,20,215",588297.9268
Salem Maritime NHS,"4,31,799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,78,977","3,74,378","3,91,694",0,"21,078","22,940","23,348","28,836","44,293","35,264","56,938","42,302","60,103","49,740","66,106","63,938","1,14,144","1,15,908","1,25,956","1,29,540","1,70,413","1,49,098","1,68,918","30,65,711",74773.43902
Salinas Pueblo Missions NM,"26,728",0,0,0,0,0,0,0,0,0,0,0,0,"9,560","8,251","11,661","21,165","11,312","11,804","15,563","14,834",0,0,"20,319","43,329","30,380","36,660","43,108","49,246","59,827","39,065","45,684","46,596","52,234","40,554","46,371","50,784","49,697","51,606","60,527","55,012","9,51,877",23216.5122
San Juan Island NHP,"92,481","4,13,885","4,72,306","4,54,985","4,79,722","5,28,413","5,45,624","6,42,027","7,38,047","8,02,819","8,35,802","8,52,678","8,76,093","9,02,010","9,46,262","9,23,687","9,26,631","10,29,336","9,47,062","8,53,821","8,23,489","6,04,787","7,23,568","7,42,016","6,84,856","6,77,639","7,22,458","6,32,234","5,19,706","5,74,410","5,65,960","5,40,475","5,20,452","5,37,551","5,17,763","5,14,524","5,31,055","5,41,825","5,62,498","5,07,276","4,81,536","2,67,89,769",653409
San Juan NHS,"14,58,778","41,793","45,059","50,192","39,532","32,715","43,908","45,821","41,026","49,020","46,260","51,640","68,511","64,958","58,215","70,225","57,706","58,516","47,139","52,210","81,574","1,08,728","1,01,824","95,188","85,339","80,730","75,932","78,792","85,818","93,204","98,218","1,12,680","1,00,056","1,10,791","82,369","88,427","1,24,979","1,40,303","1,46,119","1,21,499","1,11,972","45,47,766",110921.122
Saratoga NHP,"97,241","5,80,792","5,61,698","5,34,659","6,26,327","5,79,845","6,20,809","5,34,064","5,02,039","4,60,398","6,43,232","7,05,870","6,86,040","7,29,568","6,14,744","5,89,763","5,83,662","4,98,256","5,35,787","5,43,277","6,01,925","9,514","10,147","12,323","11,517","10,913","7,968","7,803","8,026","7,367","9,853","12,331","10,779","8,276","7,013","9,045","7,589","9,589","10,738","10,961","9,602","1,20,21,350",293203.6585
Saugus Iron Works NHS,"32,803","12,68,256","12,33,671","10,07,300","11,06,306","11,52,411","11,65,640","12,98,457","12,92,027","12,55,618","13,54,302","13,27,101","15,49,412","15,22,057","13,65,213","14,26,244","14,38,227","13,38,961","13,15,773","13,53,793","12,91,397","17,49,268","18,83,580","18,91,307","18,69,137","18,88,267","18,78,006","5,97,934","4,87,305","4,46,174","5,03,856","4,97,225","4,83,319","5,08,054","4,94,541","5,22,628","5,66,895","5,86,514","5,87,853","5,33,206","5,51,590","4,46,21,628",1088332.39
Scotts Bluff NM,"1,73,291","12,84,888","16,04,991","14,84,300","15,62,559","15,58,872","17,40,793","16,48,737","15,30,714","15,70,137","16,39,986","16,71,673","20,44,522","19,17,134","19,30,053","20,43,988","16,87,529","19,04,991","17,52,014","20,14,485","19,72,289","6,92,006","8,22,684","7,79,147","7,59,953","7,22,132","7,15,622","6,74,851","5,84,926","5,94,992","5,78,383","6,12,490","6,59,740","6,00,354","5,38,888","5,14,140","5,02,045","5,34,835","6,05,577","5,42,004","5,10,427","4,72,83,142",1153247.366
Sequoia National Park,"7,99,576","13,11,613","12,64,676","11,71,430","11,67,337","12,20,310","13,77,221","13,99,636","16,28,198","15,98,743","15,78,874","14,79,684","15,18,874","16,23,430","15,17,834","14,06,592","12,95,876","14,10,655","15,46,514","8,60,378","8,83,164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,04,715","89,599","69,543","79,870","2,84,04,342",692788.8293
Shenandoah National Park,"15,21,451",0,0,0,0,0,0,0,0,0,0,0,0,"41,036","56,568","53,832","42,121","49,110","51,107","1,64,011","3,65,677","38,010","46,834","52,823","61,917","75,449","78,172","88,200","81,344","78,468","89,190","76,592","79,587","72,831","77,511","77,633","95,327","1,05,307","1,14,461","1,04,081","97,380","39,36,030",96000.73171
Shiloh NMP,"3,18,934","1,06,01,566","1,11,60,608","1,10,51,140","1,27,96,122","1,34,78,261","1,29,31,973","1,43,64,008","99,41,614","1,16,85,582","1,08,37,879","55,05,253","58,32,697","57,76,191","57,52,880","52,87,801","58,49,061","60,88,610","59,92,978","58,10,094","63,92,961","46,289","26,350","31,940","33,037","29,205","28,660","22,484","32,179","37,121","31,129","31,209","29,049","32,403","34,112","39,086","35,003","55,716","46,523","63,886","45,979","17,81,87,573",4346038.366
