Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Canyon de Chelly NM,"3,28,097",0,0,0,0,0,0,0,0,0,"1,02,779","1,94,531","2,32,064","3,41,487","3,28,256","4,67,858","3,58,029","3,45,739","3,65,843","3,84,331","3,91,235","51,738","55,763","55,115","50,302","39,590","45,146","46,093","48,061","46,942","45,904","37,790","41,670","36,842","36,266","38,450","36,733","34,139","32,028","31,316","37,663","46,87,800",114336.5854
Canyonlands National Park,"74,545","20,34,110","17,54,142","17,03,122","20,88,259","14,81,339","15,60,527","16,42,367","22,19,983","21,83,824","21,35,152","21,02,943","20,20,563","20,76,084","20,30,197","19,21,510","18,39,498","22,60,565","27,07,789","26,97,197","23,30,011","21,435","22,692","19,188","17,906","18,513","16,357","18,339","19,410","19,990","21,216","21,665","24,030","24,361","22,103","26,127","27,205","23,440","25,479","22,732","24,640","4,13,00,555",1007330.61
Cape Cod NS,"39,21,968","5,71,541","4,74,092","4,71,517","4,72,633","4,95,104","5,00,782","5,78,018","7,18,342","7,91,348","8,08,045","8,62,659","9,29,067","10,18,174","11,07,951","10,28,134","9,94,548","12,69,600","11,74,824","11,66,331","10,81,521","3,93,175","3,90,130","2,99,958","2,27,200","2,36,353","3,27,921","2,55,060","2,65,459","2,80,279","2,98,519","3,33,463","3,79,906","4,04,248","3,86,084","4,08,641","4,12,377","4,14,170","4,13,151","4,10,893","4,19,585","2,73,92,771",668116.3659
Cape Hatteras NS,"15,16,879","71,305","45,502","49,915","51,641","45,816","62,345","74,708","93,015","95,052","73,779","32,337","51,542","48,621","60,204","57,294","57,716","45,618","53,583","46,455",0,"24,50,806","19,81,301","18,01,100","16,17,503","18,97,505","19,92,242","19,44,386","21,84,889","22,32,495","21,55,026","20,60,497","25,46,156","26,29,064","22,45,875","24,76,078","22,62,841","25,94,495","34,25,606","30,53,241","32,01,834","4,93,86,267",1204543.098
Cape Lookout NS,"50,106","5,76,352","5,80,075","6,06,935","6,55,774","5,10,009","7,61,086","9,72,516","10,52,496","10,58,464","10,59,334","9,20,768","9,81,833","11,90,674","10,02,084","9,57,256","7,00,564","7,16,530","5,80,305","6,51,223","7,96,279",0,0,0,0,"22,101","18,390","20,926","17,536","16,950","19,228","17,808","16,886","21,101","19,356","26,868","25,338","27,968","25,204","24,083","21,413","1,67,21,819",407849.2439
Capitol Reef National Park,"2,88,860","12,53,098","13,32,313","14,66,162","14,50,605","14,61,025","16,52,089","16,87,899","17,39,363","16,08,694","14,52,501","13,86,847","12,34,781","13,00,818","11,52,220","11,19,473","10,54,946","10,47,672","11,15,458","10,95,638","11,67,486","10,99,275","10,68,619","8,86,436","9,03,760","9,87,253","10,17,681","8,90,676","10,12,563","10,43,321","12,16,377","12,85,492","12,96,000","13,85,352","13,11,875","14,35,741","17,45,804","23,65,110","25,71,684","26,79,478","25,94,904","5,58,65,349",1362569.488
Capulin Volcano NM,"44,297","8,85,620","10,66,706","10,72,818","10,75,321","11,81,302","9,31,769","11,36,380","10,37,027","10,38,035","9,49,201","10,79,022","11,59,001","10,32,992","12,11,492","14,32,880","13,80,438","14,96,961","13,68,632","7,03,301","8,46,512",0,0,"50,213","46,274","44,806","47,883","47,456","46,303","46,025","47,341","27,403","28,223","30,436","28,972","34,400","41,936","38,929","33,082","31,411","37,085","2,28,37,885",557021.5854
Carl Sandburg Home NHS,"34,062","2,84,015","3,33,596","3,73,526","3,85,992","4,32,073","4,52,286","5,68,989","6,12,831","6,65,283","6,01,107","6,42,189","7,28,305","7,43,806","7,66,670","7,67,368","7,68,163","8,18,667","8,42,169","8,44,958","8,52,048","7,31,783","7,94,676","7,65,628","6,35,344","11,91,021","9,84,059","10,68,090","11,94,043","14,05,802","15,22,586","15,45,599","11,69,802","10,93,083","11,25,227","13,57,057","14,63,304","17,85,359","14,71,330","12,40,119","13,26,282","3,63,88,297",887519.439
Carlsbad Caverns National Park,"7,21,647","56,505","89,915","97,079","1,00,022","1,02,533","1,16,672","1,72,987","1,72,384","2,12,100","2,57,411","2,76,831","3,39,315","3,95,698","4,34,844","4,29,921","4,48,769","4,47,527","4,32,697","4,36,524","4,46,160","11,36,296","10,34,753","10,48,371","10,04,280","9,03,265","8,26,615","8,04,826","7,39,534","7,05,331","7,67,687","7,63,140","8,13,351","8,77,951","8,56,128","8,93,434","9,81,825","9,59,145","9,97,903","8,42,104","7,61,485","2,39,04,965",583047.9268
Casa Grande Ruins NM,"1,12,482","47,88,342","49,78,838","40,21,111","45,95,071","45,60,713","43,74,799","39,91,213","49,41,569","51,80,970","50,20,069","54,49,380","54,42,379","51,16,923","51,54,610","52,28,594","51,41,039","49,01,782","46,08,454","48,04,185","49,15,414","11,15,345","10,62,962","10,75,747","10,45,898","10,50,211","10,07,446","10,05,402","10,38,449","9,94,453","10,01,665","9,66,099","10,05,001","9,94,430","11,33,688","14,51,225","16,89,754","16,29,944","15,98,586","16,57,855","18,84,122","12,17,36,219",2969176.073
